date,home,away,home_score,away_score,home_xg,away_xg,attendance,referee,match_report_url,home_pk_goals,home_pk_attempts,home_yellow_cards,home_red_cards,home_shots,home_shots_on_target,home_tackles,home_interceptions,home_fouls_committed,away_pk_goals,away_pk_attempts,away_yellow_cards,away_red_cards,away_shots,away_shots_on_target,away_tackles,away_interceptions,away_fouls_committed,Player,#,Nation,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,season
2017-08-25,Alanyaspor,Karabükspor,1,1,NA,NA,0,Yaşar Kemal Uğurlu,https://fbref.com/en/matches/67ce1604/Alanyaspor-Kardemir-Karabukspor-August-25-2017-Super-Lig,0,0,1,0,10,5,11,9,9,0,0,5,0,15,6,23,21,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-2018
2017-08-25,Galatasaray,Sivasspor,3,0,NA,NA,0,Ali Palabıyık,https://fbref.com/en/matches/05eb2e18/Galatasaray-Sivasspor-August-25-2017-Super-Lig,1,1,3,0,12,6,15,9,22,0,0,0,0,12,2,14,16,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-2018
2017-08-26,Beşiktaş,Bursaspor,2,1,NA,NA,36216,Mete Kalkavan,https://fbref.com/en/matches/7a32b553/Besiktas-Bursaspor-August-26-2017-Super-Lig,0,0,2,0,18,8,8,14,18,0,0,3,0,4,2,8,8,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-2018
2017-08-26,Malatyaspor,Antalyaspor,1,1,NA,NA,0,Baris Şimşek,https://fbref.com/en/matches/2dad3aae/Malatyaspor-Antalyaspor-August-26-2017-Super-Lig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Samuel Eto'o,9,cm CMR,FW,90,0,1,0,0,3,1,0,0,1,1,0,2,0,0,0,0,0,2017-2018
2017-08-26,Malatyaspor,Antalyaspor,1,1,NA,NA,0,Baris Şimşek,https://fbref.com/en/matches/2dad3aae/Malatyaspor-Antalyaspor-August-26-2017-Super-Lig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AydÄ±n Karabulut,17,tr TUR,AM,70,0,0,0,0,1,1,0,0,0,1,0,2,1,1,0,0,0,2017-2018
2017-08-26,Malatyaspor,Antalyaspor,1,1,NA,NA,0,Baris Şimşek,https://fbref.com/en/matches/2dad3aae/Malatyaspor-Antalyaspor-August-26-2017-Super-Lig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moestafa El Kabir,14,ma MAR,"FW,MF",20,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,2017-2018
2017-08-26,Malatyaspor,Antalyaspor,1,1,NA,NA,0,Baris Şimşek,https://fbref.com/en/matches/2dad3aae/Malatyaspor-Antalyaspor-August-26-2017-Super-Lig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Samir Nasri,13,fr FRA,AM,90,1,0,0,0,2,1,0,0,2,2,0,1,0,1,0,0,0,2017-2018
2017-08-26,Malatyaspor,Antalyaspor,1,1,NA,NA,0,Baris Şimşek,https://fbref.com/en/matches/2dad3aae/Malatyaspor-Antalyaspor-August-26-2017-Super-Lig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Harun Alpsoy,22,ch SUI,MF,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-2018
2017-08-26,Malatyaspor,Antalyaspor,1,1,NA,NA,0,Baris Şimşek,https://fbref.com/en/matches/2dad3aae/Malatyaspor-Antalyaspor-August-26-2017-Super-Lig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maicon Marques,11,br BRA,AM,90,0,0,0,0,0,0,0,0,2,2,0,4,2,1,0,0,0,2017-2018
2017-08-26,Malatyaspor,Antalyaspor,1,1,NA,NA,0,Baris Şimşek,https://fbref.com/en/matches/2dad3aae/Malatyaspor-Antalyaspor-August-26-2017-Super-Lig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Charles Fernando BasÃ­lio da Silva,8,br BRA,DM,90,0,0,0,0,0,0,1,0,5,2,0,0,3,5,0,0,0,2017-2018
2017-08-26,Malatyaspor,Antalyaspor,1,1,NA,NA,0,Baris Şimşek,https://fbref.com/en/matches/2dad3aae/Malatyaspor-Antalyaspor-August-26-2017-Super-Lig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Salih Dursun,24,tr TUR,DM,90,0,0,0,0,0,0,0,0,3,1,0,0,3,1,0,0,0,2017-2018
2017-08-26,Malatyaspor,Antalyaspor,1,1,NA,NA,0,Baris Şimşek,https://fbref.com/en/matches/2dad3aae/Malatyaspor-Antalyaspor-August-26-2017-Super-Lig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chico,20,br BRA,"DF,MF",,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2017-2018
2017-08-26,Malatyaspor,Antalyaspor,1,1,NA,NA,0,Baris Şimşek,https://fbref.com/en/matches/2dad3aae/Malatyaspor-Antalyaspor-August-26-2017-Super-Lig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SakÄ±b AytaÃ§,23,tr TUR,LB,90,0,0,0,0,0,0,1,0,3,0,0,0,2,5,0,0,0,2017-2018
2017-08-26,Malatyaspor,Antalyaspor,1,1,NA,NA,0,Baris Şimşek,https://fbref.com/en/matches/2dad3aae/Malatyaspor-Antalyaspor-August-26-2017-Super-Lig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diego Ã‚ngelo,3,br BRA,CB,90,0,0,0,0,1,1,0,0,1,0,0,0,0,2,0,0,0,2017-2018
2017-08-26,Malatyaspor,Antalyaspor,1,1,NA,NA,0,Baris Şimşek,https://fbref.com/en/matches/2dad3aae/Malatyaspor-Antalyaspor-August-26-2017-Super-Lig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Johan Djourou,4,ch SUI,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,2017-2018
2017-08-26,Malatyaspor,Antalyaspor,1,1,NA,NA,0,Baris Şimşek,https://fbref.com/en/matches/2dad3aae/Malatyaspor-Antalyaspor-August-26-2017-Super-Lig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OndÅ™ej ÄŒelÅ¯stka,28,cz CZE,RB,90,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,2017-2018
2017-08-26,Malatyaspor,Antalyaspor,1,1,NA,NA,0,Baris Şimşek,https://fbref.com/en/matches/2dad3aae/Malatyaspor-Antalyaspor-August-26-2017-Super-Lig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ruud Boffin,25,be BEL,GK,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2017-2018
